Objeto;circunferencia;diametro
Creme; 29.8; 8.9
Copo; 26.5;8.1
balde de pipoca; 44.3; 14.0
Tampa do fermento; 16.8; 4.9
portajoia; 24.2; 7.7
Garrafa de água; 18.8; 6.0
Copo americano;9.2;6.7
spray de cabelo;16.4;5.2
caneca; 25.3; 7.9
Tampa de um tapoer; 43.8; 14.1
Spray de Ar Comprimido; 16.8; 5.3
Lataferro;28.5;9.0
lápis; 2.5; 0.7
copo; 22.3; 6.6
pote de creme de avelã; 20.5; 6.4
caneca; 9.1; 28.90
lata200ml;18.3;5.5
Tampa plástica; 40.84; 13.0
garrafinha;18;5.5
Depósito de apontador; 12.5; 3.9
protetor solar; 15.7; 4.8
Fundo de galão de água 6.25L;42.2;13.1
Copo; 56.5; 9.0
Inseticida; 19.6; 5.7
Embalagem de protetor solar; 12.0; 3.0
Lata;53.4;8.5
embalagem plástica; 21; 6.68
Pote;25.3;8.5
Desodorante; 14.5; 4.5
Copo; 20.8; 6.2
cebola; 21; 6.75
vela7dias; 15.6; 5.0
Caneca de porcelana;26;8.1
tampa;31.8;10.0
prato; 62.8; 20
tampinha de gatoraid; 10.25; 3.30
Caneca; 25; 8.5
prato; 28.3; 9.0
Pote;5;15.6
Caixinha;18.0;5.7
Tampa de Nutella; 18.5; 5.6
Bolinha do dog;6;3
garrafa; 26.9;8.3
Lata de refrigerante; 20.7; 6.5
panela; 50; 15.8
cofre; 34.0; 10.8
cano; 7.9; 2.5
Tampa Caixa de Biscoitos; 59.8; 19
CopoMaior; 21; 6.5
spray; 19.5; 6.2
copo; 16; 4.5
copo;29.2;9.3
toddy; 22.5; 7.1
tampa; 28.8; 8.9
pote de cera; 23.3; 7.4
vasobambu; 28; 8.5
tampa de panela; 67.0; 22.5
Topo do cabideiro; 11.5; 3.4
Lata; 29.0; 10.0
copo;21.0;6.8
batata Pringles; 21.4; 6.9
Caneta; 3.9; 0.4 
Tampa2; 35.6; 11.4
Copo;5.6;17.4
durex externo;33.65;10.69
caneca;25.9;8.2
copo; 21.5; 6.5
Vaso Planta ; 42.7 ; 13.6
Prato;81.7;26.0
Caneca; 21.5; 6.6
ColaBastão;10.2;2.95
Base De Container Cilíndrico; 42.8; 13.4
Moeda 5 centavos; 6.91; 2.2
pote de picles; 25.4; 8.0
hidratante; 19.3; 6.2
cd; 37.68; 12
caneca; 43.3; 13.5
Garrafa d'água Outback; 20.5; 6.0
Copo; 26.4; 8.4
Copo;22.0;7.0
Copo; 25.4; 8.8
abajur; 80.5; 25.3
Tampa de desodorante;14.1;3
Frasco de produto de limpeza; 18.8; 5.4
pote;49.3;16.0
caneca;28.4;8.8
tampa; 28.6; 8.5
Lata; 27.00; 8.55
